STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Age,SEX,Sex,INCP,Total Personal Income (weekly),STATE,State,REGIONTYPE,Geography Level,REGION,LGA 2011,FREQUENCY,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,2,Females,01_02,Negative/Nil income,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,56,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,1,Males,12,"$2,000 or more",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,38,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T55,55 - 64,1,Males,06,$400-$599,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,144,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T65,65 - 74,2,Females,12,"$2,000 or more",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,7,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T35,35 - 44,3,Persons,12,"$2,000 or more",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,149,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T35,35 - 44,3,Persons,11,"$1,500-$1,999",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,279,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T75,75 - 84,1,Males,05,$300-$399,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,99,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T35,35 - 44,3,Persons,06,$400-$599,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,345,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T55,55 - 64,1,Males,01_02,Negative/Nil income,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,38,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T55,55 - 64,2,Females,06,$400-$599,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,216,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T35,35 - 44,1,Males,11,"$1,500-$1,999",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,158,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,2,Females,12,"$2,000 or more",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,14,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,O85,85 years and over,1,Males,09,"$1,000-$1,249",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,8,,PSNS,Persons,,,,
